id,event_id,restaurant,burger,description,neighborhood,address,latitude,longitude,hours_monday,hours_tuesday,hours_wednesday,hours_thursday,hours_friday,hours_saturday,hours_sunday,tags,restaurant_photo,maps_url,everout_url
burger-26011,burger-week-2026,Bar Bar,Heart and Soul,"House-made blackberry BBQ sauce, pepper jack cheese, kettle chips, and shredded lettuce.",North Portland,3943 N Mississippi,45.551513,-122.675728,11-2 am,11-2 am,11-2 am,11-2 am,11-2 am,11-2 am,11-2 am,,https://d2sa0osf92td39.cloudfront.net/eyJidWNrZXQiOiAiZXZlcm91dC1pbWFnZXMtcHJvZHVjdGlvbiIsICJrZXkiOiAiaW1hZ2UtMTc4NTE4MTI1NzYyNTM1LUJhci1CYXIuanBnIiwgImVkaXRzIjogeyJyZXNpemUiOiB7ImZpdCI6ICJpbnNpZGUiLCAicG9zaXRpb24iOiAiY2VudHJlIiwgIndpZHRoIjogOTYwLCAiaGVpZ2h0IjogNjAwLCAid2l0aG91dEVubGFyZ2VtZW50IjogZmFsc2V9LCAicm90YXRlIjogbnVsbH19,https://maps.google.com/?cid=11378958090603818481&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAMYASAF&hl=en-US&source=embed,https://everout.com/portland/events/heart-and-soul/e249916/
burger-26012,burger-week-2026,Barbur World Foods,Beirut Smokeshow,"Brioche bun, beef burger patty, guajillo pepper, toum, iceberg lettuce, pickles.",Southwest Portland,9845 SW Barbur Blvd,45.454386,-122.720012,10:30 am-8 pm,10:30 am-8 pm,10:30 am-8 pm,10:30 am-8 pm,10:30 am-8 pm,10:30 am-8 pm,10:30 am-8 pm,,https://d2sa0osf92td39.cloudfront.net/eyJidWNrZXQiOiAiZXZlcm91dC1pbWFnZXMtcHJvZHVjdGlvbiIsICJrZXkiOiAiaW1hZ2UtMTc4NDMxMTIwNzMzMjUwNC1CYXJidXItV29ybGQtRm9vZHMuanBnIiwgImVkaXRzIjogeyJyZXNpemUiOiB7ImZpdCI6ICJpbnNpZGUiLCAicG9zaXRpb24iOiAiY2VudHJlIiwgIndpZHRoIjogOTYwLCAiaGVpZ2h0IjogNjAwLCAid2l0aG91dEVubGFyZ2VtZW50IjogZmFsc2V9LCAicm90YXRlIjogbnVsbH19,https://maps.google.com/?cid=10872815341232393552&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAMYASAF&hl=en-US&source=embed,https://everout.com/portland/events/beirut-smokeshow/e248993/
burger-26013,burger-week-2026,Bergy's Burgers,Maple Barger,"Maple bar, fresh burger, bacon, cheddar cheese, drizzled with hot honey and dill pickles on the side.",Sunnyside - Southeast Portland,4255 SE Belmont St,45.516782,-122.618372,12-9 pm,12-9 pm,12-9 pm,12-9 pm,12-10 pm,12-10 pm,12-9 pm,,https://d2sa0osf92td39.cloudfront.net/eyJidWNrZXQiOiAiZXZlcm91dC1pbWFnZXMtcHJvZHVjdGlvbiIsICJrZXkiOiAiaW1hZ2UtMTc4NDMxMTQwNDE2NzMyMy1CZXJneXMtQnVyZ2Vycy5qcGciLCAiZWRpdHMiOiB7InJlc2l6ZSI6IHsiZml0IjogImluc2lkZSIsICJwb3NpdGlvbiI6ICJjZW50cmUiLCAid2lkdGgiOiA5NjAsICJoZWlnaHQiOiA2MDAsICJ3aXRob3V0RW5sYXJnZW1lbnQiOiBmYWxzZX0sICJyb3RhdGUiOiBudWxsfX0=,https://maps.google.com/?cid=5478599173368224505&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAMYASAF&hl=en-US&source=embed,https://everout.com/portland/events/maple-barger/e248994/
burger-26014,burger-week-2026,Besaw's,1903 Burger,"6 oz Wagyu beef patty with iceberg lettuce, Tillamook white cheddar cheese, caramelized onions, fried pickled jalapenos, and Besaw's house sauce on a potato bun.",Northwest Portland,1545 NW 21st,45.533919,-122.694933,9 am-2:30 pm,9 am-2:30 pm,9 am-2:30 pm,9 am-2:30 pm,9 am-2:30 pm,9 am-2:30 pm,9 am-2:30 pm,,https://d2sa0osf92td39.cloudfront.net/eyJidWNrZXQiOiAiZXZlcm91dC1pbWFnZXMtcHJvZHVjdGlvbiIsICJrZXkiOiAiaW1hZ2UtMTc4NDMxMjA4NTUwMDk2OS1CZWFzYXdzLmpwZyIsICJlZGl0cyI6IHsicmVzaXplIjogeyJmaXQiOiAiaW5zaWRlIiwgInBvc2l0aW9uIjogImNlbnRyZSIsICJ3aWR0aCI6IDk2MCwgImhlaWdodCI6IDYwMCwgIndpdGhvdXRFbmxhcmdlbWVudCI6IGZhbHNlfSwgInJvdGF0ZSI6IG51bGx9fQ==,https://maps.google.com/?cid=1217056389875053755&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAMYASAF&hl=en-US&source=embed,https://everout.com/portland/events/1903-burger/e248999/
burger-26015,burger-week-2026,Big's Chicken,Smoked Out Smash,"Pepper-crusted and smoked beef patty, grilled corn & cherry pepper relish, tomato aioli, iceberg, pepper jack cheese on a soft bun.",North Tabor - Southeast Portland,4606 NE Glisan,45.526183,-122.615544,11:30 am-9 pm,11:30 am-9 pm,11:30 am-9 pm,11:30 am-9 pm,11:30 am-9 pm,11:30 am-9 pm,11:30 am-9 pm,,https://d2sa0osf92td39.cloudfront.net/eyJidWNrZXQiOiAiZXZlcm91dC1pbWFnZXMtcHJvZHVjdGlvbiIsICJrZXkiOiAiaW1hZ2UtMTc4NDMxMjI3ODM5NjQ5Ny1CaWdzLUNoaWNrZW4uanBnIiwgImVkaXRzIjogeyJyZXNpemUiOiB7ImZpdCI6ICJpbnNpZGUiLCAicG9zaXRpb24iOiAiY2VudHJlIiwgIndpZHRoIjogOTYwLCAiaGVpZ2h0IjogNjAwLCAid2l0aG91dEVubGFyZ2VtZW50IjogZmFsc2V9LCAicm90YXRlIjogbnVsbH19,https://maps.google.com/?cid=13817401155878092386&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAMYASAF&hl=en-US&source=embed,https://everout.com/portland/events/smoked-out-smash/e249000/
burger-26016,burger-week-2026,Binary Brewing,Teriyakimoto's Shu Mai Sliders,"Two buttery brioche slider buns stacked with juicy beef, pork, and shrimp patties, with finely shredded cabbage, fresh green onions, creamy Kewpie mayo, crispy wonton strips, and finished with a drizzle of our signature housemade lemongrass chili oil.",Beaverton,12345 SW Broadway St,45.487808,-122.803393,,11 am-9 pm,11 am-9 pm,11 am-9 pm,11 am-10 pm,11 am-10 pm,11 am-9 pm,,https://d2sa0osf92td39.cloudfront.net/eyJidWNrZXQiOiAiZXZlcm91dC1pbWFnZXMtcHJvZHVjdGlvbiIsICJrZXkiOiAiaW1hZ2UtMTc4NDY3MDIzODY0NjEyLUJpbmFyeS1CcmV3aW5nLmpwZyIsICJlZGl0cyI6IHsicmVzaXplIjogeyJmaXQiOiAiaW5zaWRlIiwgInBvc2l0aW9uIjogImNlbnRyZSIsICJ3aWR0aCI6IDk2MCwgImhlaWdodCI6IDYwMCwgIndpdGhvdXRFbmxhcmdlbWVudCI6IGZhbHNlfSwgInJvdGF0ZSI6IG51bGx9fQ==,https://maps.google.com/?cid=8123978666612900201&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAMYASAF&hl=en-US&source=embed,https://everout.com/portland/events/teriyakimotos-shu-mai-sliders/e249406/
burger-26017,burger-week-2026,Birdie Time Pub,*It's alive!* Pearenstein Burger,"Brioche bun, pear slice, blue cheese crumble, arugula, fig jam, beef patty.",Buckman - Southeast Portland,925 SE Main St,45.513847,-122.656405,12 pm-12 am,12 pm-12 am,12 pm-12 am,12 pm-12 am,12 pm-12 am,12 pm-12 am,12 pm-12 am,,https://d2sa0osf92td39.cloudfront.net/eyJidWNrZXQiOiAiZXZlcm91dC1pbWFnZXMtcHJvZHVjdGlvbiIsICJrZXkiOiAiaW1hZ2UtMTc4NDY2ODYyMzgxMTc3Ni1CaXJkaWUtVGltZS5qcGciLCAiZWRpdHMiOiB7InJlc2l6ZSI6IHsiZml0IjogImluc2lkZSIsICJwb3NpdGlvbiI6ICJjZW50cmUiLCAid2lkdGgiOiA5NjAsICJoZWlnaHQiOiA2MDAsICJ3aXRob3V0RW5sYXJnZW1lbnQiOiBmYWxzZX0sICJyb3RhdGUiOiBudWxsfX0=,https://maps.google.com/?cid=1808836824313451219&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAMYASAF&hl=en-US&source=embed,https://everout.com/portland/events/its-alive-pearenstein-burger/e249399/
burger-26018,burger-week-2026,Bless Your Heart Burgers,The Smoke Show,"Locally sourced ground beef, smoked pastrami jam, shredded lettuce, chipotle aioli, pickled peppers, and smoked cheddar cheese.",Vancouver,7910 E Mill Plain Blvd Suite 120,45.624887,-122.591124,11 am-9 pm,11 am-9 pm,11 am-9 pm,11 am-9 pm,11 am-9 pm,11 am-9 pm,11 am-9 pm,,https://d2sa0osf92td39.cloudfront.net/eyJidWNrZXQiOiAiZXZlcm91dC1pbWFnZXMtcHJvZHVjdGlvbiIsICJrZXkiOiAiaW1hZ2UtMTc4NDY2OTgyMTM2NTc5Mi1CbGVzcy1Zb3VyLUhlYXJ0X1ZhbmNvdXZlci5qcGciLCAiZWRpdHMiOiB7InJlc2l6ZSI6IHsiZml0IjogImluc2lkZSIsICJwb3NpdGlvbiI6ICJjZW50cmUiLCAid2lkdGgiOiA5NjAsICJoZWlnaHQiOiA2MDAsICJ3aXRob3V0RW5sYXJnZW1lbnQiOiBmYWxzZX0sICJyb3RhdGUiOiBudWxsfX0=,https://maps.google.com/?cid=9565916965603495775&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAMYASAF&hl=en-US&source=embed,https://everout.com/portland/events/the-smoke-show/e249403/
burger-26019,burger-week-2026,Bless Your Heart Burgers,The Smoke Show,"Locally sourced ground beef, smoked pastrami jam, shredded lettuce, chipotle aioli, pickled peppers, and smoked cheddar cheese.",Vernon - Northeast Portland,5410 NE 33rd Ave,45.561866,-122.630497,11 am-9 pm,11 am-9 pm,11 am-9 pm,11 am-9 pm,11 am-9 pm,11 am-9 pm,11 am-9 pm,,https://d2sa0osf92td39.cloudfront.net/eyJidWNrZXQiOiAiZXZlcm91dC1pbWFnZXMtcHJvZHVjdGlvbiIsICJrZXkiOiAiaW1hZ2UtMTc4NDY2OTk2NzY0MjEyMS1CbGVzcy1Zb3VyLUhlYXJ0X1BvcnRsYW5kLmpwZyIsICJlZGl0cyI6IHsicmVzaXplIjogeyJmaXQiOiAiY292ZXIiLCAicG9zaXRpb24iOiAiY2VudHJlIiwgIndpZHRoIjogNzY1LCAiaGVpZ2h0IjogNTczLCAid2l0aG91dEVubGFyZ2VtZW50IjogZmFsc2V9LCAicm90YXRlIjogbnVsbH19,https://maps.google.com/?cid=13947151668532947930&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAMYASAF&hl=en-US&source=embed,https://everout.com/portland/events/the-smoke-show/e249404/
burger-26020,burger-week-2026,Boke Bowl,Sweet Chile of Mine Burger,"Double stack fresh ground burgers, pepper jack cheese, hot and sour pickled serrano chiles, In & Out Style onions, chile crunch aioli, shredded lettuce on An Xuyen Asian brioche bun.",Buckman - Southeast Portland,1028 SE Water,45.515407,-122.665671,,11 am-8 pm,11 am-8 pm,11 am-8 pm,11 am-8:30 pm,11 am-8:30 pm,11 am-8 pm,,https://d2sa0osf92td39.cloudfront.net/eyJidWNrZXQiOiAiZXZlcm91dC1pbWFnZXMtcHJvZHVjdGlvbiIsICJrZXkiOiAiaW1hZ2UtMTc4NDYwMzk5Mzg0MzY2OS1Cb2tlLUJvd2wuanBnIiwgImVkaXRzIjogeyJyZXNpemUiOiB7ImZpdCI6ICJpbnNpZGUiLCAicG9zaXRpb24iOiAiY2VudHJlIiwgIndpZHRoIjogOTYwLCAiaGVpZ2h0IjogNjAwLCAid2l0aG91dEVubGFyZ2VtZW50IjogZmFsc2V9LCAicm90YXRlIjogbnVsbH19,https://maps.google.com/?cid=13807710159044857153&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAMYASAF&hl=en-US&source=embed,https://everout.com/portland/events/sweet-chile-of-mine-burger/e249326/
burger-26021,burger-week-2026,Botto's BBQ,Mont Dew Burger,"Half-pound ground prime brisket patty, caramelized onion, melty Gruyere cheese, French onion aioli, pickles, potato chips.",Southeast Portland,3120 SE Milwaukie Ave,45.500418,-122.653983,,,11 am-8 pm,11 am-8 pm,11 am-8 pm,12-8 pm,12-6 pm,,https://d2sa0osf92td39.cloudfront.net/eyJidWNrZXQiOiAiZXZlcm91dC1pbWFnZXMtcHJvZHVjdGlvbiIsICJrZXkiOiAiaW1hZ2UtMTc4NDYwMzgwNDU5NDkzLUJvdHRvcy1CQlEuanBnIiwgImVkaXRzIjogeyJyZXNpemUiOiB7ImZpdCI6ICJpbnNpZGUiLCAicG9zaXRpb24iOiAiY2VudHJlIiwgIndpZHRoIjogOTYwLCAiaGVpZ2h0IjogNjAwLCAid2l0aG91dEVubGFyZ2VtZW50IjogZmFsc2V9LCAicm90YXRlIjogbnVsbH19,https://maps.google.com/?cid=13922714083302066734&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAMYASAF&hl=en-US&source=embed,https://everout.com/portland/events/mont-dew-burger/e249325/
burger-26022,burger-week-2026,Breaking Buns @ Alchemy Cider,The Cleveland Steamer,"Togarashi seasoned beef patties topped with crispy seared pork belly, cheddar cheese, sweet soy caramelized onions, Chinese hot mustard, Szechuan mayo and Napa cabbage slaw served on 3 hot steamed buns.",Buckman - Southeast Portland,818 SE Ankeny St,45.521961,-122.657214,4-9 pm,4-9 pm,4-9 pm,4-9 pm,4-11 pm,12-11 pm,	4-9 pm,,https://d2sa0osf92td39.cloudfront.net/eyJidWNrZXQiOiAiZXZlcm91dC1pbWFnZXMtcHJvZHVjdGlvbiIsICJrZXkiOiAiaW1hZ2UtMTc4NTE4MTUyNTk0ODYwNC1CcmVha2luZy1CdW5zLmpwZyIsICJlZGl0cyI6IHsicmVzaXplIjogeyJmaXQiOiAiaW5zaWRlIiwgInBvc2l0aW9uIjogImNlbnRyZSIsICJ3aWR0aCI6IDk2MCwgImhlaWdodCI6IDYwMCwgIndpdGhvdXRFbmxhcmdlbWVudCI6IGZhbHNlfSwgInJvdGF0ZSI6IG51bGx9fQ==,https://maps.google.com/?cid=12038637716512196304&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAMYASAF&hl=en-US&source=embed,https://everout.com/portland/events/the-cleveland-steamer/e249918/
